"branch","cluster_id","completed_at","created_at","git_commit_message","git_commit_sha","git_commit_url","job_id","job_key","job_label","job_number","job_title","owner_login","proc_id","remote_dir","remote_host","remote_user","repo","source_folder_url","status","submitted_at","target_folder","task","task_name"
"main","23254","2026-06-25T06:30:34.765529+00:00","2026-06-25T06:22:17.829224+00:00","Save quick -3 stepwise par files","81abd7eb0951e51fde60c35042d143da4390d246","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/81abd7eb0951e51fde60c35042d143da4390d246","3c3258999be1","03-regfish","Job 369",369,"03-RegFish","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise/job-000369","nouofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/81abd7eb0951e51fde60c35042d143da4390d246","completed","2026-06-25T06:22:25.957014+00:00","","ofp-sam-bet-2026-stepwise","ofp-sam-bet-2026-stepwise"
"main","23291","2026-06-25T08:28:40.975453+00:00","2026-06-25T08:26:34.794901+00:00","Simplify stepwise output artifacts","77e59d051ca73f9e8fc32e95039b3b633d725fd2","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/77e59d051ca73f9e8fc32e95039b3b633d725fd2","93b0ff51f097","03-regfish","Job 388",388,"BET stepwise: New regions/fisheries","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise/job-000388","nouofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/77e59d051ca73f9e8fc32e95039b3b633d725fd2","completed","2026-06-25T08:26:45.821037+00:00","","ofp-sam-bet-2026-stepwise","ofp-sam-bet-2026-stepwise"
"main","23302","2026-06-25T10:13:14.256297+00:00","2026-06-25T10:11:28.225913+00:00","Use mfclshiny objective table alignment fix","ffbcc46aaf78fca0c5d2a90d82e186c8607c7d1a","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/commit/ffbcc46aaf78fca0c5d2a90d82e186c8607c7d1a","dca963ef2a13","03-regfish","Job 393",393,"BET stepwise: New regions/fisheries","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-stepwise/job-000393","nouofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-stepwise","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/tree/ffbcc46aaf78fca0c5d2a90d82e186c8607c7d1a","completed","2026-06-25T10:11:34.727104+00:00","","ofp-sam-bet-2026-stepwise","ofp-sam-bet-2026-stepwise"
"main","23304","2026-06-25T10:25:23.731310+00:00","2026-06-25T10:13:44.475618+00:00","Use mfclshiny objective table alignment fix","1d466db4617ed247087c50fd631eaa844313326e","https://github.com/PacificCommunity/ofp-sam-bet-2026-results/commit/1d466db4617ed247087c50fd631eaa844313326e","e8d6f13b2616","results","Job 394",394,"BET results","kyuhank","","/home/kyuhank/KflowOutput/ofp-sam-bet-2026-results/job-000394","nouofpsubmit.corp.spc.int","kyuhank","PacificCommunity/ofp-sam-bet-2026-results","https://github.com/PacificCommunity/ofp-sam-bet-2026-results/tree/1d466db4617ed247087c50fd631eaa844313326e","completed","2026-06-25T10:13:45.710478+00:00","","ofp-sam-bet-2026-results","ofp-sam-bet-2026-results"
